fund_symbol,price_date,open,high,low,close,adj_close,volume
AADR,5/12/16,37.97,38.05,37.92,38.05,36.84,1800
AADR,5/13/16,37.92,37.92,37.9,37.92,36.72,1500
AADR,5/16/16,37.99,38.32,37.99,38.09,36.88,5500
AADR,5/17/16,38.28,38.28,38.28,38.28,37.07,200
AADR,5/18/16,38.1,38.1,38,38,36.8,900
AADR,5/19/16,37.56,37.68,37,37.31,36.13,6900
AADR,5/20/16,38.44,38.44,38.44,38.44,37.22,300
AADR,5/23/16,38.32,38.45,37.69,37.8,36.6,3400
AADR,5/24/16,37.92,38.53,37.92,38.07,36.86,2100
AADR,5/25/16,38.15,38.64,38.15,38.64,37.42,500
AADR,5/26/16,38.3,38.3,37.95,38.03,36.82,600
AADR,5/27/16,38.85,39.19,38.85,39.19,37.95,400
AADR,5/31/16,38.23,38.84,38.23,38.62,37.4,1500
AADR,6/1/16,38.5,38.71,38.5,38.61,37.39,1800
AADR,6/2/16,38.76,38.76,38.6,38.64,37.42,2200
AADR,6/3/16,38.64,38.64,38.64,38.64,37.42,0
AADR,6/6/16,38.66,39.57,38.66,39.57,38.32,400
AADR,6/7/16,39.07,39.07,39.07,39.07,37.83,300
AADR,6/8/16,39.07,39.07,39.07,39.07,37.83,0
AADR,6/9/16,38.67,39.3,38.67,38.76,37.53,5500
AADR,6/10/16,38.66,40.3,38.5,38.5,37.28,2300
AADR,6/13/16,38.49,38.49,38.01,38.01,36.81,400
AADR,6/14/16,37.95,37.95,37.95,37.95,36.75,100
AADR,6/15/16,37.65,37.89,37.39,37.56,36.37,1900
AADR,6/16/16,37.2,37.75,37.1,37.55,36.36,2000
AADR,6/17/16,37.24,37.73,37.24,37.73,36.53,700
AADR,6/20/16,39.21,39.21,37.79,38.32,37.11,1200
AADR,6/21/16,39.91,40.29,39,40.02,38.75,1200
AADR,6/22/16,40.02,40.02,40.02,40.02,38.75,0
AADR,6/23/16,39.17,39.59,39.17,39.44,38.19,1300
AADR,6/24/16,37.81,37.81,37.55,37.55,36.42,2100
AADR,6/27/16,37.55,38.25,37.05,38.25,37.09,2000
AADR,6/28/16,36.12,37.58,36.12,37.58,36.44,1100
AADR,6/29/16,38.34,38.34,38.25,38.25,37.09,1700
AADR,6/30/16,39.27,39.27,38.98,38.98,37.8,1000
AADR,7/1/16,39.4,39.41,39.4,39.4,38.21,800
AADR,7/5/16,39.14,39.14,38.81,38.93,37.75,1500
AADR,7/6/16,38.93,38.93,38.93,38.93,37.75,100
AADR,7/7/16,38.93,38.93,38.93,38.93,37.75,100
AADR,7/8/16,39.57,39.57,38.95,39.19,38.01,3100
AADR,7/11/16,39.49,39.74,39.28,39.28,38.09,2500
AADR,7/12/16,40,40,40,40,38.79,500
AADR,7/13/16,39.87,39.88,39.45,39.78,38.58,2900
AADR,7/14/16,39.91,39.91,39.89,39.89,38.68,500
AADR,7/15/16,39.24,39.66,39.24,39.51,38.32,2100
AADR,7/18/16,39.5,40.65,39.5,40.6,39.37,3400
AADR,7/19/16,40.32,40.32,39.81,40.29,39.07,3300
AADR,7/20/16,39.76,40.45,39.76,40.45,39.23,500
AADR,7/21/16,40.64,40.88,40.26,40.6,39.37,18100
AADR,7/22/16,40.33,40.33,40.33,40.33,39.11,200
AADR,7/25/16,40.69,40.69,40.57,40.59,39.36,800
AADR,7/26/16,40.9,40.95,40.9,40.95,39.71,300
AADR,7/27/16,41.02,41.03,40.65,40.96,39.72,1600
AADR,7/28/16,40.9,41,40.69,40.69,39.46,1500
AADR,7/29/16,40.41,40.91,40.41,40.59,39.36,600
AADR,8/1/16,40.59,40.59,40.59,40.59,39.36,0
AADR,8/2/16,40.59,40.59,40.59,40.59,39.36,0
AADR,8/3/16,40.61,40.61,40.58,40.58,39.35,600
AADR,8/4/16,40.58,40.67,40.28,40.58,39.35,1100
AADR,8/5/16,40.58,40.58,40.58,40.58,39.35,0
AADR,8/8/16,40.5,40.5,40.5,40.5,39.28,300
AADR,8/9/16,40.5,40.5,40.5,40.5,39.28,0
AADR,8/10/16,40.56,40.86,40.39,40.39,39.17,3300
AADR,8/11/16,41.03,41.2,41.03,41.2,39.95,800
AADR,8/12/16,40.88,40.88,40.88,40.88,39.64,100
AADR,8/15/16,41.1,41.1,41.05,41.05,39.81,600
AADR,8/16/16,40.88,41.35,40.88,41.34,40.09,1900
AADR,8/17/16,41.34,41.34,41.34,41.34,40.09,0
AADR,8/18/16,41.16,41.16,41.12,41.12,39.88,300
AADR,8/19/16,40.97,41.08,40.85,40.85,39.62,2700
AADR,8/22/16,40.85,40.85,40.85,40.85,39.62,0
AADR,8/23/16,41.19,41.29,40.69,41,39.76,15500
AADR,8/24/16,40.98,40.98,40.76,40.76,39.53,2400
AADR,8/25/16,40.74,40.76,40.74,40.76,39.53,700
AADR,8/26/16,40.62,40.62,40.32,40.6,39.37,6000
AADR,8/29/16,40.67,40.73,40.65,40.67,39.44,1000
AADR,8/30/16,40.6,40.71,40.51,40.71,39.48,4800
AADR,8/31/16,40.45,40.45,40.06,40.16,38.95,19300
AADR,9/1/16,40.23,40.4,40.06,40.33,39.11,18500
AADR,9/2/16,40.4,40.88,40.12,40.63,39.4,37700
AADR,9/6/16,40.9,40.93,40.71,40.91,39.67,7900
AADR,9/7/16,41.25,41.26,40.8,41.06,39.82,2000
AADR,9/8/16,40.81,40.81,40.81,40.81,39.58,100
AADR,9/9/16,40.57,40.59,39.58,39.65,38.45,14700
AADR,9/12/16,39.24,39.92,38.65,39.72,38.52,1700
AADR,9/13/16,39.45,39.45,38.84,39,37.82,2700
AADR,9/14/16,39.2,39.2,39.06,39.06,37.88,500
AADR,9/15/16,39.37,39.65,39.37,39.65,38.45,26200
AADR,9/16/16,39.05,39.48,39.05,39.11,37.93,1200
AADR,9/19/16,39.11,39.11,39.11,39.11,37.93,0
AADR,9/20/16,39.9,39.9,39.72,39.77,38.57,800
AADR,9/21/16,39.91,40.3,39.6,40.3,39.08,2500
AADR,9/22/16,40.9,41.02,40.75,41.01,39.77,1700
AADR,9/23/16,40.75,40.75,40.67,40.67,39.44,1200
AADR,9/26/16,40.02,40.02,39.95,39.95,38.86,2800
AADR,9/27/16,40.1,40.1,39.68,39.7,38.61,1300
AADR,9/28/16,39.88,40.13,39.76,40.13,39.03,19000
AADR,9/29/16,40.5,40.53,40.2,40.4,39.29,1900
AADR,9/30/16,40.6,40.6,40.54,40.58,39.47,65300
AADR,10/3/16,40.58,40.58,40.58,40.58,39.47,0
AADR,10/4/16,40.4,40.4,40.12,40.12,39.02,36200
AADR,10/5/16,40.21,40.39,40.21,40.33,39.23,1600
AADR,10/6/16,40.23,40.33,40.23,40.33,39.23,1700
AADR,10/7/16,40.23,40.41,40.23,40.41,39.3,200
AADR,10/10/16,40.41,40.57,40.41,40.41,39.3,1100
AADR,10/11/16,40.08,40.08,40.08,40.08,38.98,200
AADR,10/12/16,39.88,40.21,39.88,40.14,39.04,1700
AADR,10/13/16,39.86,39.99,39.86,39.99,38.89,1700
AADR,10/14/16,40.32,40.46,40.19,40.19,39.09,1400
AADR,10/17/16,40.36,40.6,40.22,40.22,39.12,3800
AADR,10/18/16,41,41.17,40.89,40.89,39.77,1000
AADR,10/19/16,41.3,41.67,41.3,41.35,40.22,3400
AADR,10/20/16,41.08,41.08,41.08,41.08,39.95,200
AADR,10/21/16,41.47,41.88,41.47,41.83,40.68,1200
AADR,10/24/16,42.3,42.3,41.9,41.92,40.77,1000
AADR,10/25/16,42.14,42.49,42.14,42.49,41.33,6600
AADR,10/26/16,42.12,42.12,41.74,41.76,40.62,2600
AADR,10/27/16,41.82,41.84,41.71,41.84,40.69,1800
AADR,10/28/16,41.63,41.63,41.54,41.54,40.4,1400
AADR,10/31/16,41.54,41.71,41.47,41.68,40.54,3800
AADR,11/1/16,41.68,41.78,40.86,40.98,39.86,5000
AADR,11/2/16,41.15,41.25,40.53,40.62,39.51,7900
AADR,11/3/16,40.8,40.8,40.61,40.61,39.5,1200
AADR,11/4/16,40.32,40.65,40.32,40.56,39.45,1200
AADR,11/7/16,41.32,41.32,41.06,41.06,39.94,1700
AADR,11/8/16,41.47,41.66,41.47,41.6,40.46,1600
AADR,11/9/16,41.58,41.58,41.44,41.44,40.3,900
AADR,11/10/16,41.5,41.5,40.05,40.55,39.44,1900
AADR,11/11/16,39.35,39.35,38.86,39.09,38.02,1100
AADR,11/14/16,38.78,38.78,38.27,38.5,37.45,1900
AADR,11/15/16,39.09,39.38,39.01,39.38,38.3,4100
AADR,11/16/16,39.48,39.48,39.1,39.1,38.03,4400
AADR,11/17/16,39.36,39.48,39.1,39.14,38.07,2600
AADR,11/18/16,39.3,39.55,39.2,39.54,38.46,2500
AADR,11/21/16,40.08,40.16,40.02,40.16,39.06,8900
AADR,11/22/16,41.16,41.16,40.3,40.91,39.79,5500
AADR,11/23/16,41.2,41.2,40.45,40.79,39.67,15500
AADR,11/25/16,40.74,40.82,40.74,40.74,39.62,700
AADR,11/28/16,40.72,41.08,40.72,41.04,39.92,2200
AADR,11/29/16,40.65,40.91,40.54,40.54,39.43,9600
